# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 03-10-2019 14:30:09                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     27015,         0,MORETON                       ,03-10-2019 09:00:00,      2.26,L,Unknown    ,Steady        ,        6.6,Wenlock River Bridge 		                 ,B,  142.6389,  -12.4536                                                                                                                                                                                                                   
     29166,         0,RIVERSLEIGH TM                ,03-10-2019 13:00:00,     1.623,L,Below Minor,Steady        ,           ,					                                   , ,  138.8033,  -18.9703                                                                                                                                                                                                                   
     31173,         0,MYOLA TM                      ,03-10-2019 13:00:00,      .722,L,Below Minor,Steady        ,          5,Russett Park Bridge			                  ,B,  145.6122,  -16.7997                                                                                                                                                                                                                   
     31188,         0,MAREEBA TM                    ,03-10-2019 13:00:00,     1.758,L,Below Minor,Steady        ,        4.8,Barron River Bridge			                  ,B,  145.4281,  -17.0039                                                                                                                                                                                                                   
     31205,         0,COPPERLODE DAM ALERT          ,03-10-2019 12:56:22,     -1.04,L,Unknown    ,Rising        ,          0,                                        ,S,  145.6747,  -16.9794                                                                                                                                                                                                                   
     32109,         0,UPPER MURRAY TM               ,03-10-2019 13:00:00,     2.189,L,Below Minor,Steady        ,           ,					                                   , ,  145.8053,  -18.1069                                                                                                                                                                                                                   
     32152,         0,TUNG OIL TM                   ,03-10-2019 13:00:00,     1.065,L,Below Minor,Steady        ,           ,					                                   , ,  145.9292,  -17.5475                                                                                                                                                                                                                   
     32155,         0,CENTRAL MILL TM               ,03-10-2019 13:00:00,      .928,L,Below Minor,Steady        ,        3.9,Old Bridge at Central Mill		            ,O,  145.9786,  -17.6094                                                                                                                                                                                                                   
     32160,         0,CENTRAL MILL ALERT            ,03-10-2019 13:12:08,        .9,L,Below Minor,Steady        ,        3.9,Old Central Mill Bridge		               ,O,  145.9792,  -17.6089                                                                                                                                                                                                                   
     32161,         0,CORSIS ALERT                  ,03-10-2019 13:23:37,      1.89,L,Below Minor,Steady        ,           ,					                                   , ,  145.9014,  -17.5967                                                                                                                                                                                                                   
     32163,         0,INNISFAIL WHARF ALERT         ,03-10-2019 14:06:56,      2.79,L,Below Minor,              ,           ,					                                   , ,  146.0325,  -17.5236                                                                                                                                                                                                                   
     32165,         0,NERADA ALERT                  ,03-10-2019 11:32:55,       .44,L,Below Minor,Steady        ,           ,					                                   , ,  145.8464,  -17.5308                                                                                                                                                                                                                   
     32166,         0,TUNG OIL ALERT                ,03-10-2019 11:47:05,      1.03,L,Below Minor,Steady        ,           ,					                                   , ,  145.9325,  -17.5456                                                                                                                                                                                                                   
     32167,         0,EURAMO TM                     ,03-10-2019 13:00:00,     1.657,L,Below Minor,Steady        ,        8.7,Tully River Bridge (new)		              ,A,  145.9425,  -17.9919                                                                                                                                                                                                                   
     32169,         0,GLENEAGLE ALERT               ,03-10-2019 13:11:33,      2.07,L,Below Minor,Steady        ,           ,					                                   , ,  145.3325,  -18.1919                                                                                                                                                                                                                   
     32170,         0,NASH'S CROSSING ALERT         ,03-10-2019 12:55:05,         0,L,Below Minor,Rising        ,           ,					                                   , ,  145.7722,  -18.4125                                                                                                                                                                                                                   
     32171,         0,INGHAM PUMP STATION AL        ,03-10-2019 13:08:17,       .82,L,Below Minor,Steady        ,           ,                                        , ,  146.1444,  -18.6347                                                                                                                                                                                                                   
     32173,         0,PEACOCK SIDING ALERT          ,03-10-2019 13:45:20,      -.15,L,Below Minor,Steady        ,           ,Seri Bridge (Property/Farm Bridge)	     , ,  145.9961,  -18.6797                                                                                                                                                                                                                   
     32174,         0,ABERGOWRIE ALERT              ,03-10-2019 11:51:45,      1.27,L,Below Minor,Steady        ,           ,					                                   , ,  145.9364,  -18.4889                                                                                                                                                                                                                   
     32184,         0,ZATTAS ALERT                  ,03-10-2019 13:30:31,      -.37,L,Below Minor,Steady        ,           ,                                        , ,  145.8294,  -18.4506                                                                                                                                                                                                                   
     32185,         0,HALIFAX ALERT                 ,03-10-2019 13:52:17,       .92,L,Below Minor,Rising        ,        6.5,Herbert River Bridge			                 ,A,  146.2803,  -18.5789                                                                                                                                                                                                                   
     33264,         0,BOWEN PUMP STATION ALERT      ,03-10-2019 12:46:22,       1.1,L,Below Minor,Steady        ,          2,Inverdon Bridge			                      ,B,  148.2044,  -20.0089                                                                                                                                                                                                                   
     33267,         0,MT DANGAR ALERT               ,03-10-2019 12:25:34,       1.2,L,Below Minor,Steady        ,        2.1,Mt Dangar Causeway			                   ,C,  148.1217,  -20.2197                                                                                                                                                                                                                   
     33274,         0,PETER FAUST DAM TW TM         ,03-10-2019 14:00:00,     2.143,L,Below Minor,Steady        ,           ,					                                   , ,  148.3908,  -20.3681                                                                                                                                                                                                                   
     33277,         0,MIRANI WEIR TW TM             ,03-10-2019 13:00:01,     1.161,L,Below Minor,Steady        ,           ,					                                   , ,  148.8297,  -21.1789                                                                                                                                                                                                                   
     33278,         0,DALBEG TM                     ,03-10-2019 14:00:00,      .898,L,Below Minor,Steady        ,           ,					                                   , ,  147.2961,  -20.3089                                                                                                                                                                                                                   
     33279,         0,CLARE TM                      ,03-10-2019 13:00:00,     1.332,L,Below Minor,Steady        ,           ,					                                   , ,  147.2436,  -19.7586                                                                                                                                                                                                                   
     33280,         0,POWERLINE TM                  ,03-10-2019 13:00:00,       .25,L,Below Minor,Falling       ,           ,					                                   , ,  147.1103,  -19.6333                                                                                                                                                                                                                   
     33281,         0,GARGETT TM                    ,03-10-2019 13:00:00,      .807,L,Below Minor,Steady        ,       17.9,Frank Neilson Bridge		                  ,B,  148.7442,  -21.1781                                                                                                                                                                                                                   
     33282,         0,SARICH'S TM                   ,03-10-2019 13:00:00,     1.403,L,Below Minor,Steady        ,           ,					                                   , ,  148.8181,  -21.2717                                                                                                                                                                                                                   
     33283,         0,DUMBLETON ROCKS TM            ,03-10-2019 13:00:00,    14.088,L,Below Minor,Steady        ,         14,Pioneer River Causeway                  ,F,  149.0753,  -21.1441                                                                                                                                                                                                                   
     33285,         0,THE GAP TM                    ,03-10-2019 12:00:00,     5.464,L,Below Minor,Steady        ,           ,					                                   , ,    150.11,  -23.0883                                                                                                                                                                                                                   
     33286,         0,CLARE ALERT                   ,03-10-2019 13:33:27,      1.35,L,Below Minor,Steady        ,           ,					                                   , ,  147.2436,  -19.7586                                                                                                                                                                                                                   
     33287,         0,MILLAROO ALERT                ,03-10-2019 13:19:24,       2.2,L,Below Minor,Steady        ,           ,					                                   , ,  147.2508,  -19.9717                                                                                                                                                                                                                   
     33289,         0,STRATHBOGIE ALERT             ,03-10-2019 13:21:53,      1.12,L,Below Minor,Steady        ,           ,Bogie River Crossing Orifice = 1.15m    , ,  147.5631,  -20.1425                                                                                                                                                                                                                   
     33291,         0,DALBEG ALERT                  ,03-10-2019 12:36:30,       .84,L,Below Minor,Steady        ,           ,					                                   , ,  147.2961,  -20.3089                                                                                                                                                                                                                   
     33292,         0,MYUNA ALERT                   ,03-10-2019 12:30:50,       .59,L,Below Minor,Steady        ,           ,					                                   , ,  147.5981,  -20.5819                                                                                                                                                                                                                   
     33299,         0,SARICH'S ALERT                ,03-10-2019 12:43:04,      1.34,L,Below Minor,Steady        ,           ,					                                   , ,  148.8203,  -21.2725                                                                                                                                                                                                                   
     33300,         0,DUMBLETON ROCKS ALERT         ,03-10-2019 14:29:05,      14.1,L,Below Minor,Steady        ,         14,Pioneer River Causeway                  ,F,  149.0753,  -21.1439                                                                                                                                                                                                                   
     33302,         0,MIRANI WEIR TW ALERT          ,03-10-2019 12:35:59,      1.16,L,Below Minor,Rising        ,           ,					                                   , ,  148.8311,  -21.1772                                                                                                                                                                                                                   
     33303,         0,MACKAY ALERT                  ,03-10-2019 14:01:43,       4.9,L,Below Minor,Rising        ,        9.6,Forgan-Smith Bridge		                   ,B,  149.1883,  -21.1397                                                                                                                                                                                                                   
     33310,         0,SOUTH YAAMBA TM               ,03-10-2019 12:15:00,      -.04,L,Below Minor,Falling       ,           ,					                                   , ,  150.3978,     -23.2                                                                                                                                                                                                                   
     34096,         0,TARTRUS TM                    ,03-10-2019 14:00:00,     5.361,L,Below Minor,Steady        ,        5.7,Tartrus Weir 			                        ,W,  149.4222,  -22.9575                                                                                                                                                                                                                   
     34097,         0,BURDEKIN DAM ALERT            ,03-10-2019 12:50:57,      -.93,L,Below Minor,Steady        ,          0,Spillway				                            ,S,  147.1372,  -20.6467                                                                                                                                                                                                                   
     35251,         0,CRAIGMORE AL                  ,03-10-2019 14:15:32,      .436,L,Below Minor,Steady        ,           ,					                                   , ,  147.7569,  -23.8847                                                                                                                                                                                                                   
     35282,         0,TAROOM TM                     ,03-10-2019 13:00:01,       .74,L,Below Minor,Steady        ,        6.7,WH Copeland Bridge (Leichhardt Highway) ,A,  149.7895,  -25.6377                                                                                                                                                                                                                   
     35295,         0,BINGEGANG WEIR HW ALERT       ,03-10-2019 14:28:47,      5.58,L,Below Minor,Steady        ,        7.5,					                                   ,W,   149.035,  -23.0733                                                                                                                                                                                                                   
